Tableau 1;;;;
id;Offer;Value;Percent;Amount
88;FALSE;TRUE;FALSE;10
70;FALSE;FALSE;TRUE;10
12;FALSE;FALSE;TRUE;-20
18;FALSE;FALSE;TRUE;-15
2;TRUE;FALSE;FALSE;
9;FALSE;FALSE;TRUE;10
153;TRUE;FALSE;FALSE;
57;FALSE;FALSE;TRUE;-20
24;FALSE;FALSE;TRUE;10
23;FALSE;FALSE;TRUE;15
10;TRUE;FALSE;FALSE;
7;TRUE;FALSE;FALSE;
147;TRUE;FALSE;FALSE;
69;TRUE;FALSE;FALSE;
357;TRUE;FALSE;FALSE;
151;;;;
154;TRUE;FALSE;FALSE;
250;TRUE;FALSE;FALSE;
157;;;;
106;FALSE;FALSE;TRUE;15
74;FALSE;FALSE;TRUE;-10
156;FALSE;FALSE;TRUE;-10
145;FALSE;FALSE;TRUE;-10
358;;;;
60;FALSE;FALSE;TRUE;17
3;FALSE;FALSE;TRUE;10
167;FALSE;FALSE;TRUE;-10
175;FALSE;TRUE;FALSE;14
14;TRUE;FALSE;FALSE;
19;;;;
104;;;;
26;;;;
76;FALSE;FALSE;TRUE;-20
67;TRUE;FALSE;FALSE;
28;TRUE;FALSE;FALSE;
89;;;;
99;TRUE;FALSE;FALSE;
93;;;;
100;FALSE;FALSE;TRUE;-15
251;FALSE;FALSE;TRUE;-10
6;FALSE;FALSE;TRUE;10
182;;;;
178;FALSE;FALSE;TRUE;-20
188;TRUE;FALSE;FALSE;
214;FALSE;FALSE;TRUE;-40
72;TRUE;FALSE;FALSE;
16;FALSE;TRUE;FALSE;2
173;TRUE;FALSE;FALSE;
96;FALSE;FALSE;TRUE;10
169;FALSE;FALSE;TRUE;-10
179;TRUE;FALSE;FALSE;
29;;;;
180;;;;
168;FALSE;FALSE;TRUE;10
15;TRUE;FALSE;FALSE;
181;FALSE;TRUE;FALSE;10
174;FALSE;FALSE;TRUE;15
111;FALSE;FALSE;TRUE;20
105;;;;
185;TRUE;FALSE;FALSE;
238;TRUE;FALSE;FALSE;
232;FALSE;TRUE;FALSE;40
222;;;;
13;FALSE;FALSE;TRUE;30
226;FALSE;FALSE;TRUE;-20
219;;;;
221;FALSE;FALSE;TRUE;-50
237;FALSE;FALSE;TRUE;-10
240;FALSE;FALSE;TRUE;-25
61;FALSE;FALSE;TRUE;-20
229;TRUE;FALSE;FALSE;FALSE
231;;;;
220;TRUE;FALSE;FALSE;
223;;;;
27;FALSE;FALSE;TRUE;25
225;FALSE;FALSE;TRUE;-40
256;;;;
110;TRUE;FALSE;FALSE;
227;FALSE;FALSE;TRUE;-20
258;TRUE;FALSE;FALSE;
230;;;;
63;FALSE;FALSE;TRUE;-50
228;FALSE;FALSE;TRUE;-10
254;FALSE;TRUE;FALSE;8
252;TRUE;FALSE;FALSE;
150;FALSE;FALSE;TRUE;-15
259;FALSE;FALSE;TRUE;-10
253;TRUE;FALSE;FALSE;
304;FALSE;FALSE;TRUE;-20
184;TRUE;FALSE;FALSE;
108;FALSE;TRUE;FALSE;20
305;TRUE;FALSE;FALSE;
215;FALSE;FALSE;TRUE;-20
233;FALSE;TRUE;FALSE;10
103;TRUE;FALSE;FALSE;
75;FALSE;FALSE;TRUE;-20
265;FALSE;FALSE;TRUE;-15
263;FALSE;FALSE;TRUE;-30
21;TRUE;FALSE;FALSE;
4;TRUE;FALSE;FALSE;
177;TRUE;FALSE;FALSE;
149;FALSE;FALSE;TRUE;10
161;TRUE;FALSE;FALSE;
101;FALSE;FALSE;TRUE;-15
171;FALSE;FALSE;TRUE;-30
266;TRUE;FALSE;FALSE;
216;FALSE;FALSE;TRUE;-14
260;TRUE;FALSE;FALSE;
273;FALSE;TRUE;FALSE;-10
275;FALSE;FALSE;TRUE;-15
297;FALSE;FALSE;TRUE;-30
289;TRUE;FALSE;FALSE;
300;FALSE;FALSE;TRUE;10
279;TRUE;FALSE;FALSE;
286;FALSE;FALSE;TRUE;10
285;;;;
291;TRUE;FALSE;FALSE;
282;TRUE;FALSE;FALSE;
299;FALSE;FALSE;TRUE;10
283;TRUE;FALSE;FALSE;
295;FALSE;FALSE;TRUE;-50
292;FALSE;FALSE;TRUE;50
284;TRUE;FALSE;FALSE;
294;FALSE;FALSE;TRUE;5
287;FALSE;FALSE;TRUE;10
281;TRUE;FALSE;FALSE;
288;FALSE;FALSE;TRUE;-20
310;;;;
303;FALSE;FALSE;TRUE;10
308;FALSE;FALSE;TRUE;10
318;TRUE;FALSE;FALSE;
269;;;;
329;FALSE;FALSE;TRUE;8,5
325;;;;
11;FALSE;FALSE;TRUE;-50
313;TRUE;FALSE;FALSE;
306;FALSE;FALSE;TRUE;10
322;FALSE;FALSE;TRUE;-50
317;TRUE;FALSE;FALSE;
326;;;;
321;TRUE;FALSE;FALSE;
328;FALSE;TRUE;FALSE;10
314;TRUE;FALSE;FALSE;
327;TRUE;FALSE;FALSE;
345;FALSE;FALSE;TRUE;10
296;FALSE;FALSE;TRUE;-50
336;TRUE;FALSE;FALSE;
347;TRUE;FALSE;FALSE;
343;TRUE;FALSE;FALSE;
342;TRUE;FALSE;FALSE;
337;TRUE;FALSE;FALSE;
344;FALSE;FALSE;TRUE;10
354;TRUE;FALSE;FALSE;
339;TRUE;FALSE;FALSE;
340;TRUE;FALSE;FALSE;
353;FALSE;FALSE;TRUE;-15
352;TRUE;FALSE;FALSE;
334;;;;
341;;;;
351;TRUE;FALSE;FALSE;
338;;;;
276;;;;
274;TRUE;FALSE;FALSE;
248;TRUE;FALSE;FALSE;
335;FALSE;FALSE;TRUE;-20
348;TRUE;FALSE;FALSE;
355;TRUE;FALSE;FALSE;