id;views;Offer;Value;Percent;Amount
88;31;FALSE;TRUE;FALSE;-10
70;57;FALSE;FALSE;TRUE;-10
18;79;FALSE;FALSE;TRUE;-15
2;141;TRUE;FALSE;FALSE;
9;61;FALSE;FALSE;TRUE;-10
153;116;TRUE;FALSE;FALSE;
57;56;FALSE;FALSE;TRUE;-20
24;98;FALSE;FALSE;TRUE;-10
23;112;FALSE;FALSE;TRUE;-15
10;154;TRUE;FALSE;FALSE;
7;181;TRUE;FALSE;FALSE;
147;54;TRUE;FALSE;FALSE;
69;34;TRUE;FALSE;FALSE;
357;0;TRUE;FALSE;FALSE;
151;29;FALSE;TRUE;FALSE;-40
154;64;TRUE;FALSE;FALSE;
250;33;TRUE;FALSE;FALSE;
157;51;FALSE;TRUE;FALSE;
106;6;FALSE;FALSE;TRUE;-15
74;94;FALSE;FALSE;TRUE;-10
156;67;FALSE;FALSE;TRUE;-10
145;124;FALSE;FALSE;TRUE;-10
60;75;FALSE;TRUE;FALSE;-2
3;252;FALSE;FALSE;TRUE;-10
167;39;FALSE;FALSE;TRUE;-10
175;19;FALSE;TRUE;FALSE;-2
14;748;TRUE;FALSE;FALSE;
19;63;FALSE;TRUE;FALSE;-0,2
104;34;FALSE;TRUE;FALSE;-10
26;144;FALSE;TRUE;FALSE;-10
76;39;FALSE;FALSE;TRUE;-20
67;72;TRUE;FALSE;FALSE;
28;91;TRUE;FALSE;FALSE;
89;29;FALSE;TRUE;FALSE;-5
99;47;TRUE;FALSE;FALSE;
93;76;FALSE;TRUE;FALSE;-10
100;143;FALSE;FALSE;TRUE;-15
251;129;FALSE;FALSE;TRUE;-10
6;131;FALSE;FALSE;TRUE;-10
182;68;TRUE;FALSE;FALSE;
178;19;FALSE;FALSE;TRUE;-20
188;62;TRUE;FALSE;FALSE;
214;27;FALSE;FALSE;TRUE;-40
72;392;TRUE;FALSE;FALSE;
16;148;FALSE;TRUE;FALSE- ;2
173;25;TRUE;FALSE;FALSE;
96;145;FALSE;FALSE;TRUE;-10
169;82;FALSE;FALSE;TRUE;-10
179;28;TRUE;FALSE;FALSE;
29;118;FALSE;FALSE;TRUE;-10
180;40;TRUE;FALSE;FALSE;
168;20;FALSE;FALSE;TRUE;-10
15;147;TRUE;FALSE;FALSE;
181;32;FALSE;TRUE;FALSE;-10
174;53;FALSE;FALSE;TRUE;-15
111;42;FALSE;FALSE;TRUE;-20
185;71;TRUE;FALSE;FALSE;
238;50;TRUE;FALSE;FALSE;
232;67;FALSE;TRUE;FALSE;-40
13;325;FALSE;FALSE;TRUE;-30
226;49;FALSE;FALSE;TRUE;-20
221;84;FALSE;FALSE;TRUE;-50
237;45;FALSE;FALSE;TRUE;-10
240;53;FALSE;FALSE;TRUE;-25
61;49;FALSE;FALSE;TRUE;-20
229;50;TRUE;FALSE;FALSE;
231;165;FALSE;FALSE;TRUE;-40
220;11;TRUE;FALSE;FALSE;
223;33;FALSE;FALSE;TRUE;-10
27;85;FALSE;FALSE;TRUE;-25
225;23;FALSE;FALSE;TRUE;-40
256;65;TRUE;FALSE;FALSE;
110;117;TRUE;FALSE;FALSE;
227;29;FALSE;FALSE;TRUE;-20
258;28;TRUE;FALSE;FALSE;
63;116;FALSE;FALSE;TRUE;-50
228;18;FALSE;FALSE;TRUE;-10
254;80;FALSE;TRUE;FALSE;-8
252;60;TRUE;FALSE;FALSE;
150;326;FALSE;FALSE;TRUE;-15
259;21;FALSE;FALSE;TRUE;-10
253;51;TRUE;FALSE;FALSE;
304;3;FALSE;FALSE;TRUE;-20
184;58;TRUE;FALSE;FALSE;
108;46;FALSE;TRUE;FALSE;-20
305;0;TRUE;FALSE;FALSE;
215;24;FALSE;FALSE;TRUE;-20
233;410;FALSE;TRUE;FALSE;-10
103;57;TRUE;FALSE;FALSE;
75;29;FALSE;FALSE;TRUE;-20
265;88;FALSE;FALSE;TRUE;-15
263;24;FALSE;FALSE;TRUE;-30
21;132;TRUE;FALSE;FALSE;
4;147;TRUE;FALSE;FALSE;
177;45;TRUE;FALSE;FALSE;
149;120;FALSE;FALSE;TRUE;-10
161;116;FALSE;FALSE;TRUE;-50
101;77;FALSE;FALSE;TRUE;-15
171;42;FALSE;FALSE;TRUE;-30
266;179;TRUE;FALSE;FALSE;
216;24;FALSE;FALSE;TRUE;-14
260;39;TRUE;FALSE;FALSE;
273;21;FALSE;TRUE;FALSE;-10
275;26;FALSE;FALSE;TRUE;-15
297;31;FALSE;FALSE;TRUE;-30
289;2;TRUE;FALSE;FALSE;
300;2;FALSE;FALSE;TRUE;-10
279;17;TRUE;FALSE;FALSE;
286;1;FALSE;FALSE;TRUE;-10
285;4;FALSE;FALSE;TRUE;-15
291;5;TRUE;FALSE;FALSE;
282;3;TRUE;FALSE;FALSE;
299;4;FALSE;FALSE;TRUE;-10
283;0;TRUE;FALSE;FALSE;
295;5;FALSE;FALSE;TRUE;-50
292;1;FALSE;FALSE;TRUE;-50
284;3;TRUE;FALSE;FALSE;
294;1;FALSE;FALSE;TRUE;-5
287;2;FALSE;FALSE;TRUE;-10
281;2;TRUE;FALSE;FALSE;
288;1;FALSE;FALSE;TRUE;-20
310;0;FALSE;FALSE;TRUE;-10
303;1;FALSE;FALSE;TRUE;-10
308;2;FALSE;FALSE;TRUE;-10
318;2;TRUE;FALSE;FALSE;
269;195;FALSE;TRUE;FALSE;-10
329;28;FALSE;FALSE;TRUE;-8,5
11;402;FALSE;FALSE;TRUE;-50
313;0;TRUE;FALSE;FALSE;
306;2;FALSE;FALSE;TRUE;-10
322;57;FALSE;FALSE;TRUE;-50
317;0;TRUE;FALSE;FALSE;
326;3;FALSE;FALSE;TRUE;-20
321;20;TRUE;FALSE;FALSE;
328;0;FALSE;TRUE;FALSE;-10
314;8;TRUE;FALSE;FALSE;
327;0;TRUE;FALSE;FALSE;
345;0;FALSE;FALSE;TRUE;-10
296;127;FALSE;FALSE;TRUE;-50
336;10;FALSE;TRUE;FALSE;-3
347;;TRUE;FALSE;FALSE;
343;2;TRUE;FALSE;FALSE;
342;3;TRUE;FALSE;FALSE;
337;4;TRUE;FALSE;FALSE;
344;1;FALSE;FALSE;TRUE;-10
354;5;TRUE;FALSE;FALSE;
339;3;TRUE;FALSE;FALSE;
340;1;TRUE;FALSE;FALSE;
353;190;FALSE;FALSE;TRUE;-15
352;1;TRUE;FALSE;FALSE;
341;1;FALSE;TRUE;FALSE;-3
351;2;TRUE;FALSE;FALSE;
338;2;TRUE;FALSE;FALSE;
276;38;FALSE;TRUE;FALSE;-20
274;123;FALSE;TRUE;FALSE;-17
248;109;TRUE;FALSE;FALSE;
335;44;FALSE;FALSE;TRUE;-20
348;5;TRUE;FALSE;FALSE;
355;27;TRUE;FALSE;FALSE;